"species","decimalLongitude","decimalLatitude"
"Piaractus.brachypomus",-67.323,-13.345
"Piaractus.brachypomus",-67.533,-14.441
"Piaractus.brachypomus",-67.396,-13.497
"Piaractus.brachypomus",-67.432,-13.374
"Piaractus.brachypomus",-67.393,-13.466
"Piaractus.brachypomus",-65.384,-10.806
"Piaractus.brachypomus",-65.339,-10.783
"Piaractus.brachypomus",-65.27,-10.86
"Piaractus.brachypomus",-65.334,-10.803
"Piaractus.brachypomus",-65.163,-13.181
"Piaractus.brachypomus",-65.4,-13.666
"Piaractus.brachypomus",-65.27,-13.711
"Piaractus.brachypomus",-64.852,-14.5
"Piaractus.brachypomus",-65.01,-14.771
"Piaractus.brachypomus",-65.046,-14.666
"Piaractus.brachypomus",-64.868,-14.461
"Piaractus.brachypomus",-65.021,-14.727
"Piaractus.brachypomus",-64.933,-14.608
"Piaractus.brachypomus",-64.941,-14.679
"Piaractus.brachypomus",-64.85,-14.5
"Piaractus.brachypomus",-64.683,-15.633
"Piaractus.brachypomus",-60.02,-13.1
"Piaractus.brachypomus",-63.55,-12.19
"Piaractus.brachypomus",-62.9,-12.85
"Piaractus.brachypomus",-65.024,-15.282
"Piaractus.brachypomus",-64.758,-15.934
"Piaractus.brachypomus",-74.597,-4.327
"Piaractus.brachypomus",-75.812,-5.418
"Piaractus.brachypomus",-76.652,-1.104
"Piaractus.brachypomus",-74.083,-2.365
"Piaractus.brachypomus",-73.106,-3.485
"Piaractus.brachypomus",-73.11,-3.38
"Piaractus.brachypomus",-75.433,-0.994
"Piaractus.brachypomus",-76.983,-0.472
"Piaractus.brachypomus",-76.987,-0.47
"Piaractus.brachypomus",-60.003,-3.159
"Piaractus.brachypomus",-60.02,-3.219
"Piaractus.brachypomus",-60.036,-3.208
"Piaractus.brachypomus",-60.004,-3.199
"Piaractus.brachypomus",-60.034,-3.128
"Piaractus.brachypomus",-60.016,-3.213
"Piaractus.brachypomus",-60,-3.117
"Piaractus.brachypomus",-60.092,-3.208
"Piaractus.brachypomus",-60.023,-3.152
"Piaractus.brachypomus",-60.02,-3.1
"Piaractus.brachypomus",-60.026,-3.147
"Piaractus.brachypomus",-60.025,-3.102
"Piaractus.brachypomus",-60.923,-2.55
"Piaractus.brachypomus",-61.112,0.977
"Piaractus.brachypomus",-60.693,2.741
"Piaractus.brachypomus",-61.128,1.816
"Piaractus.brachypomus",-53.299,-0.929
"Piaractus.brachypomus",-61.467,-3.7
"Piaractus.brachypomus",-68.405,-9.102
"Piaractus.brachypomus",-68.844,-9.096
"Piaractus.brachypomus",-69.683,-3.233
"Piaractus.brachypomus",-73.512,-1.636
"Piaractus.brachypomus",-72.7,-2.467
"Piaractus.brachypomus",-60.167,-3.417
"Piaractus.brachypomus",-60.303,-3.391
"Piaractus.brachypomus",-59.946,-3.24
"Piaractus.brachypomus",-60.267,-3.417
"Piaractus.brachypomus",-60.067,-3.217
"Piaractus.brachypomus",-60.75,-3.217
"Piaractus.brachypomus",-60.633,-3.283
"Piaractus.brachypomus",-60.283,-3.417
"Piaractus.brachypomus",-61.508,-3.108
"Piaractus.brachypomus",-60.3,-3.47
"Piaractus.brachypomus",-60.283,-3.4
"Piaractus.brachypomus",-60.209,-3.348
"Piaractus.brachypomus",-60.186,-3.285
"Piaractus.brachypomus",-60.621,-3.3
"Piaractus.brachypomus",-60.417,-3.25
"Piaractus.brachypomus",-60.265,-3.492
"Piaractus.brachypomus",-60.075,-3.287
"Piaractus.brachypomus",-60.811,-3.571
"Piaractus.brachypomus",-60.823,-3.611
"Piaractus.brachypomus",-60.835,-3.643
"Piaractus.brachypomus",-59.967,-3.25
"Piaractus.brachypomus",-60.717,-3.233
"Piaractus.brachypomus",-60.831,-3.342
"Piaractus.brachypomus",-59.913,-3.168
"Piaractus.brachypomus",-59.945,-3.239
"Piaractus.brachypomus",-60.589,-3.344
"Piaractus.brachypomus",-61.5,-3.1
"Piaractus.brachypomus",-60.5,-3.333
"Piaractus.brachypomus",-59.916,-3.177
"Piaractus.brachypomus",-62.642,-3.408
"Piaractus.brachypomus",-61.664,-3.845
"Piaractus.brachypomus",-62.633,-3.4
"Piaractus.brachypomus",-61.74,-3.873
"Piaractus.brachypomus",-64.646,-2.635
"Piaractus.brachypomus",-65,-3
"Piaractus.brachypomus",-64.834,-3.202
"Piaractus.brachypomus",-66.503,-2.423
"Piaractus.brachypomus",-69.623,-4.337
"Piaractus.brachypomus",-70.3,-3.817
"Piaractus.brachypomus",-69.95,-4.221
"Piaractus.brachypomus",-69.838,-4.348
"Piaractus.brachypomus",-69.951,-4.2
"Piaractus.brachypomus",-70.393,-3.782
"Piaractus.brachypomus",-70.407,-3.782
"Piaractus.brachypomus",-70.435,-3.789
"Piaractus.brachypomus",-70.457,-3.8
"Piaractus.brachypomus",-70.425,-3.801
"Piaractus.brachypomus",-70.412,-3.802
"Piaractus.brachypomus",-70.222,-3.847
"Piaractus.brachypomus",-69.961,-4.188
"Piaractus.brachypomus",-69.958,-4.193
